gender,SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod
Female,1.5982143e-12,19.603573,97.63535,1572.8608,Month-to-month,Credit card (automatic)
Male,0.0,19.659662,67.12803,1573.8201,One year,Bank transfer (automatic)
Male,2.4579543e-24,5.561403,74.642494,191.09178,Month-to-month,Credit card (automatic)
Male,0.0,34.401337,106.7945,4261.94,One year,Bank transfer (automatic)
Male,0.0,9.773802,23.617153,289.7048,One year,Bank transfer (automatic)
Female,3.9152617e-10,34.623962,104.45204,3316.6091,One year,Credit card (automatic)
Male,0.0,7.3134646,83.69161,709.84906,Month-to-month,Credit card (automatic)
Male,0.0,1.3239485,55.31332,32.542934,Month-to-month,Credit card (automatic)
Female,0.0,3.4823587,25.95919,66.57956,One year,Credit card (automatic)
Male,0.0,3.5869968,74.6212,180.23146,Month-to-month,Credit card (automatic)
Female,5.1574488e-11,25.338507,96.86171,2286.7974,One year,Credit card (automatic)
Male,0.0,14.424049,28.921772,512.6329,One year,Bank transfer (automatic)
Male,1.1199587e-24,47.65902,112.929825,5852.4717,One year,Bank transfer (automatic)
Male,0.0,21.70946,68.696785,1626.3347,One year,Bank transfer (automatic)
Female,0.0,2.8562226,87.53532,108.515045,Month-to-month,Credit card (automatic)
Female,2.4523825e-12,8.053168,82.11543,306.8926,Month-to-month,Credit card (automatic)
Male,0.0,15.04917,88.732864,1134.7832,One year,Credit card (automatic)
Male,0.0,25.415226,97.69531,2859.2795,One year,Bank transfer (automatic)
Female,0.0,3.7292676,50.281605,108.31255,Month-to-month,Credit card (automatic)
Male,0.0,41.49324,116.18935,5758.148,One year,Bank transfer (automatic)
Male,2.6722921e-38,13.881062,89.623695,1118.351,Month-to-month,Credit card (automatic)
Female,2.3506752e-10,21.052338,85.51107,1390.2579,Month-to-month,Credit card (automatic)
Male,0.0,37.580597,114.73785,5010.921,One year,Bank transfer (automatic)
Female,0.0,1.92329,87.311554,38.77593,Month-to-month,Credit card (automatic)
Male,0.0,3.6299593,78.074066,180.60677,Month-to-month,Credit card (automatic)
Female,3.1476889e-28,10.347136,89.47602,504.848,Month-to-month,Credit card (automatic)
Male,0.0,1.0766702,46.03748,19.646112,Month-to-month,Credit card (automatic)
Female,2.6183717e-27,27.149994,91.5193,2233.236,One year,Credit card (automatic)
Female,4.9412173e-20,39.175182,109.27683,4044.1812,One year,Credit card (automatic)
Male,0.0,26.895374,65.45826,1684.8655,One year,Bank transfer (automatic)
Female,1.5954717e-25,2.3432176,89.48039,48.67664,Month-to-month,Credit card (automatic)
Male,0.0,36.048027,102.39332,3434.3296,One year,Credit card (automatic)
Female,5.622102e-26,28.01156,69.94064,2069.876,One year,Bank transfer (automatic)
Female,0.9999993,52.390823,108.68593,5672.698,One year,Bank transfer (automatic)
Male,0.0,28.90867,86.22012,2469.6885,One year,Bank transfer (automatic)
Male,0.0,3.4636781,74.10039,234.79504,Month-to-month,Credit card (automatic)
Male,0.0,1.3862044,67.670616,30.959103,Month-to-month,Credit card (automatic)
Male,0.0,11.239079,92.359955,740.1836,Month-to-month,Credit card (automatic)
Male,0.0,6.8266687,37.520042,201.8642,One year,Credit card (automatic)
Female,6.760685e-32,2.4876428,77.70375,48.800564,Month-to-month,Credit card (automatic)
Male,0.0,26.485117,76.49235,2050.9626,One year,Credit card (automatic)
Male,0.0,1.3218944,51.43497,27.296373,Month-to-month,Credit card (automatic)
Female,0.0,12.861856,46.030254,605.52856,One year,Credit card (automatic)
Male,0.0,4.0852637,87.662094,315.83658,Month-to-month,Credit card (automatic)
Female,0.0,7.3548765,22.320625,133.45418,One year,Credit card (automatic)
Female,3.6225273e-08,4.9257913,82.979805,168.1925,Month-to-month,Credit card (automatic)
Female,7.531587e-19,5.0728836,75.32935,133.89809,Month-to-month,Credit card (automatic)
Male,0.0,6.9563184,67.16729,514.5924,One year,Credit card (automatic)
Male,1.2620876e-26,36.642757,107.24139,4452.228,One year,Bank transfer (automatic)
Female,1.1957966e-06,55.96437,114.76146,6518.9453,One year,Bank transfer (automatic)
Male,0.0,30.598835,97.956345,3042.0505,One year,Credit card (automatic)
Male,1.3257422e-27,51.34612,115.79609,5888.9707,One year,Bank transfer (automatic)
Male,0.0,6.334262,80.4119,398.04047,Month-to-month,Credit card (automatic)
Female,1.7528886e-07,37.734264,99.124405,3617.1333,One year,Credit card (automatic)
Male,0.0,43.59515,116.13456,5935.96,One year,Bank transfer (automatic)
Male,0.0,5.498189,29.915117,180.08362,One year,Credit card (automatic)
Female,7.473443e-16,1.698188,59.55295,26.840445,Month-to-month,Credit card (automatic)
Female,0.0,3.3092167,18.843134,38.94803,One year,Credit card (automatic)
Male,0.0,14.137044,66.86477,1009.2756,One year,Bank transfer (automatic)
Male,0.0,1.5210975,55.72013,29.601662,Month-to-month,Credit card (automatic)
Male,0.0,29.371893,99.77642,3076.8784,One year,Bank transfer (automatic)
Male,0.0,21.13272,91.18977,1593.4564,One year,Credit card (automatic)
Female,6.835033e-31,26.890093,64.87598,1619.9293,One year,Credit card (automatic)
Female,0.002416183,46.818348,106.172714,5081.026,One year,Bank transfer (automatic)
